City,Latitude,Max_Temp (F),Humidity,Cloudiness,Windspeed (mph)
Arman,59.7,-8.3,61,0,8.19
Hamilton,43.26,39.99,51,75,12.75
Punta Arenas,-53.16,51.8,93,40,20.8
Arraial do Cabo,-22.97,91.4,74,20,20.8
Kilindoni,-7.91,83.42,100,88,9.98
Qaanaaq,77.48,-26.75,78,0,6.85
Butaritari,3.07,81.71,100,64,16.46
Saint-Joseph,43.56,60.8,50,80,4.7
Saint-Philippe,45.36,32,35,1,16.11
Thompson,55.74,35.6,64,20,3.36
Masuguru,-11.38,85.31,59,8,13.67
Cape Town,-33.93,72,94,75,13.87
Siteki,-26.45,86,83,56,3.15
Eenhana,-17.48,98.6,14,0,5.77
Hami,42.84,42.83,52,92,7.56
Port Alfred,-33.59,73.99,92,12,1.99
Maykor,59.01,24.2,84,64,2.86
Ushuaia,-54.81,41,65,90,19.46
Kenai,60.55,37.99,80,75,8.05
Mount Gambier,-37.83,53.6,100,90,4.7
Gizo,31.8,61,77,0,5.82
Yellowknife,62.45,33.01,74,90,17.22
Bambous Virieux,-20.34,82.4,78,40,8.05
Ponta do Sol,-20.63,76.22,94,24,5.77
Praia,-20.25,89.6,48,40,8.05
Bluff,-23.58,66.14,95,0,3.09
Bireun,5.2,84.68,100,0,4.76
Tiksi,71.64,-24.5,36,24,3.6
Porto Torres,40.84,53.6,62,40,11.41
Bopfingen,48.86,41,93,75,14.99
Sangmelima,2.93,78.92,61,76,3.27
Tuatapere,-46.13,55.99,95,88,6.06
Nanortalik,60.14,31.04,100,80,5.84
Saharanpur,29.96,61.01,75,12,3.76
Antofagasta,-23.65,69.8,60,0,13.87
Kodiak,39.95,52,14,1,3.36
Baruun-Urt,46.68,35.81,36,76,11.21
Saint George,39.45,59,82,0,5.82
Lazaro Cardenas,28.39,60.01,43,90,5.82
Aklavik,68.22,37.4,55,40,13.87
Yeppoon,-23.13,73.4,94,0,4.7
Kamina,-8.74,75.68,82,24,2.82
Kavieng,-2.57,84.23,99,0,9.98
